,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
175,Object Images,0.0,Gaussian,0.06772229,1,Gaussian,0.81503172,0.84736428,0.30000000000000004
176,,,,,,,,,
177,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1,
178,Object Images,0.0,Gaussian,0.06772229,1,Gaussian,0.81503172,0.84736428,0.4
179,,,,,,,,,
180,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1,
181,Object Images,0.0,Gaussian,0.06772229,1,Gaussian,0.81503172,0.84736428,0.5
182,,,,,,,,,
183,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1,
184,Object Images,0.0,Gaussian,0.06772229,1,Gaussian,0.81503172,0.84736428,0.6000000000000001
185,,,,,,,,,
186,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1,
187,Object Images,0.0,Gaussian,0.06772229,1,Gaussian,0.81503172,0.84736428,0.7000000000000001
188,,,,,,,,,
189,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1,
190,Object Images,0.0,Gaussian,0.06772229,1,Gaussian,0.81503172,0.84736428,0.8
191,,,,,,,,,
192,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1,
193,Object Images,0.0,Gaussian,0.06772229,1,Gaussian,0.81503172,0.84736428,0.9
194,,,,,,,,,
195,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1,
196,Object Images,0.0,Gaussian,0.06772229,1,Gaussian,0.81503172,0.84736428,1.0
197,,,,,,,,,
198,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
199,Speech Accent Data,0.0,Linear,0.11764706,1,Linear,0.0663518,0.99862951,0.0
200,,,,,,,,,
201,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
202,Speech Accent Data,0.0,Linear,0.11764706,1,Linear,0.0663518,0.99862951,0.1
203,,,,,,,,,
204,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
205,Speech Accent Data,0.0,Linear,0.11764706,1,Linear,0.0663518,0.99862951,0.2
206,,,,,,,,,
207,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
208,Speech Accent Data,0.0,Linear,0.11764706,1,Linear,0.0663518,0.99862951,0.30000000000000004
209,,,,,,,,,
210,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
211,Speech Accent Data,0.0,Linear,0.11764706,1,Linear,0.0663518,0.99862951,0.4
212,,,,,,,,,
213,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
214,Speech Accent Data,0.0,Linear,0.11764706,1,Linear,0.0663518,0.99862951,0.5
215,,,,,,,,,
216,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
217,Speech Accent Data,0.0,Linear,0.11764706,1,Linear,0.0663518,0.99862951,0.6000000000000001
218,,,,,,,,,
219,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
220,Speech Accent Data,0.0,Linear,0.11764706,1,Linear,0.0663518,0.99862951,0.7000000000000001
221,,,,,,,,,
222,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
223,Speech Accent Data,0.0,Linear,0.11764706,1,Linear,0.0663518,0.99862951,0.8
224,,,,,,,,,
225,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
226,Speech Accent Data,0.0,Linear,0.11764706,1,Linear,0.0663518,0.99862951,0.9
227,,,,,,,,,
228,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1,
229,Speech Accent Data,0.0,Linear,0.11764706,1,Linear,0.0663518,0.99862951,1.0
230,,,,,,,,,
231,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1,
232,Pen-Based Recognition of Handwritten Text,0.0,KMeans,0.88648649,1,KMeans,0.05384615,0.93619909,0.0
233,,,,,,,,,
234,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1,
235,Pen-Based Recognition of Handwritten Text,0.0,KMeans,0.88648649,1,KMeans,0.05384615,0.93619909,0.1
236,,,,,,,,,
237,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1,
238,Pen-Based Recognition of Handwritten Text,0.0,KMeans,0.88648649,1,KMeans,0.05384615,0.93619909,0.2
239,,,,,,,,,
240,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1,
241,Pen-Based Recognition of Handwritten Text,0.0,KMeans,0.88648649,1,KMeans,0.05384615,0.93619909,0.30000000000000004
242,,,,,,,,,
243,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1,
244,Pen-Based Recognition of Handwritten Text,0.0,KMeans,0.88648649,1,KMeans,0.05384615,0.93619909,0.4
245,,,,,,,,,
246,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1,
247,Pen-Based Recognition of Handwritten Text,0.0,KMeans,0.88648649,1,KMeans,0.05384615,0.93619909,0.5
248,,,,,,,,,
249,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1,
250,Pen-Based Recognition of Handwritten Text,0.0,KMeans,0.88648649,1,KMeans,0.05384615,0.93619909,0.6000000000000001
251,,,,,,,,,
252,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1,
